law_name,url
החוק העותומני על האגודות,https://he.wikisource.org/wiki/%D7%94%D7%97%D7%95%D7%A7_%D7%94%D7%A2%D7%95%D7%AA%D7%95%D7%9E%D7%A0%D7%99_%D7%A2%D7%9C_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA
תקנות החוק העותומני על האגודות (דיווח ושקיפות),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%97%D7%95%D7%A7_%D7%94%D7%A2%D7%95%D7%AA%D7%95%D7%9E%D7%A0%D7%99_%D7%A2%D7%9C_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_(%D7%93%D7%99%D7%95%D7%95%D7%97_%D7%95%D7%A9%D7%A7%D7%99%D7%A4%D7%95%D7%AA)
פקודת האגודות השיתופיות,https://he.wikisource.org/wiki/%D7%A4%D7%A7%D7%95%D7%93%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA
תקנות האגודות השיתופיות (אגודות שיתופיות לאשראי),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_%D7%9C%D7%90%D7%A9%D7%A8%D7%90%D7%99)
תקנות האגודות השיתופיות (אגרות),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%90%D7%92%D7%A8%D7%95%D7%AA)
תקנות האגודות השיתופיות (בוררות בסכסוכים),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%91%D7%95%D7%A8%D7%A8%D7%95%D7%AA_%D7%91%D7%A1%D7%9B%D7%A1%D7%95%D7%9B%D7%99%D7%9D)
תקנות האגודות השיתופיות (בחירת נציגים לתאגיד),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%91%D7%97%D7%99%D7%A8%D7%AA_%D7%A0%D7%A6%D7%99%D7%92%D7%99%D7%9D_%D7%9C%D7%AA%D7%90%D7%92%D7%99%D7%93)
"תקנות האגודות השיתופיות (דוח כספי, פנקסים, ספרים והודעות)","https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%93%D7%95%D7%97_%D7%9B%D7%A1%D7%A4%D7%99,_%D7%A4%D7%A0%D7%A7%D7%A1%D7%99%D7%9D,_%D7%A1%D7%A4%D7%A8%D7%99%D7%9D_%D7%95%D7%94%D7%95%D7%93%D7%A2%D7%95%D7%AA)"
תקנות האגודות השיתופיות (הוראות כלליות),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%94%D7%95%D7%A8%D7%90%D7%95%D7%AA_%D7%9B%D7%9C%D7%9C%D7%99%D7%95%D7%AA)
תקנות האגודות השיתופיות (חברות),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%97%D7%91%D7%A8%D7%95%D7%AA)
תקנות האגודות השיתופיות (ייסוד),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%99%D7%99%D7%A1%D7%95%D7%93)
תקנות האגודות השיתופיות (יישוב סכסוכים בקיבוץ),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%99%D7%99%D7%A9%D7%95%D7%91_%D7%A1%D7%9B%D7%A1%D7%95%D7%9B%D7%99%D7%9D_%D7%91%D7%A7%D7%99%D7%91%D7%95%D7%A5)
תקנות האגודות השיתופיות (ניהול וביקורת חשבונות),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%A0%D7%99%D7%94%D7%95%D7%9C_%D7%95%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A9%D7%91%D7%95%D7%A0%D7%95%D7%AA)
תקנות האגודות השיתופיות (סוגי אגודות),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%A1%D7%95%D7%92%D7%99_%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA)
הודעה בדבר סוגי אגודות שיתופיות,https://he.wikisource.org/wiki/%D7%94%D7%95%D7%93%D7%A2%D7%94_%D7%91%D7%93%D7%91%D7%A8_%D7%A1%D7%95%D7%92%D7%99_%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA
תקנות האגודות השיתופיות (ערבות הדדית בקיבוץ מתחדש),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%A2%D7%A8%D7%91%D7%95%D7%AA_%D7%94%D7%93%D7%93%D7%99%D7%AA_%D7%91%D7%A7%D7%99%D7%91%D7%95%D7%A5_%D7%9E%D7%AA%D7%97%D7%93%D7%A9)
תקנות האגודות השיתופיות (פירוק),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%A4%D7%99%D7%A8%D7%95%D7%A7)
